id,accountId,transactionType,amount,transactionDate
341,AZ04 KGWT RCPD ZDLO GK2F 9BMT B9WV,INGRESO,1360,2023-12-19
342,FR56 2956 4678 15WA DG1R C9CT E67,RETIRO,2093,2023-12-19
343,SK44 5827 8530 7506 3774 6274,RETIRO,-503,2023-12-19
344,FR84 4241 9858 91B1 Q3YZ BRXX K62,INGRESO,-2535,2023-12-19
345,HU16 0966 5875 0212 0721 7412 4842,INGRESO,-4472,2023-12-19
346,AE87 6612 7996 9142 1019 291,RETIRO,7663,2023-12-19
347,IT03 M783 0530 475L UMTG 1SRY UQM,RETIRO,-3429,2023-12-19
348,SK49 0134 5276 4286 3473 0261,INGRESO,9145,2023-12-19
349,AT78 9283 4375 5692 0712,INGRESO,5692,2023-12-19
350,SK81 1759 6085 4877 5070 8089,RETIRO,4757,2023-12-19
351,NO98 4391 2690 669,INGRESO,-1854,2023-12-19
352,MU45 EXWD 3772 6156 2006 3862 775K ZD,RETIRO,7272,2023-12-19
353,DE45 4720 8037 9971 9382 81,RETIRO,8825,2023-12-19
354,FR82 8877 1745 347Y AW95 BB2W H02,INGRESO,-2617,2023-12-19
355,BE32 0479 4610 2557,RETIRO,6927,2023-12-19
356,LI45 6247 7R2D 5MMY 549Q K,RETIRO,-3752,2023-12-19
357,MR10 4212 8948 6382 8551 1661 078,RETIRO,3455,2023-12-19
358,EE59 8415 6651 2922 2269,INGRESO,-9986,2023-12-19
359,FI21 3972 9763 3725 00,INGRESO,-8691,2023-12-19
360,KZ53 294M EJKW VP3S LFRE,INGRESO,177,2023-12-19
361,GL47 5485 8059 0260 98,INGRESO,3168,2023-12-19
362,KW35 TSGP 7SL7 ZCJG RRBX M0FV OT2A 7P,INGRESO,309,2023-12-19
363,ES17 1932 4940 5238 3726 3596,INGRESO,-7643,2023-12-19
364,FR26 7780 7495 34IZ O0D9 98RN H36,INGRESO,27,2023-12-19
365,SA93 23AX 7WUM FHJU MVB8 PMZB,INGRESO,-4347,2023-12-19
366,PS07 EKXE J1SC C6C1 EZAZ WJ5P 9WTN 9,RETIRO,-622,2023-12-19
367,CR40 5927 1181 5492 1663 7,RETIRO,-7650,2023-12-19
368,LB66 6592 NE8G ATEC GY1X IVJ1 4ZYU,INGRESO,1637,2023-12-19
369,BH22 GVOL F29M TPGB SXZX VM,INGRESO,3783,2023-12-19
370,FR12 8122 7770 08CD ZAA3 LRHT N87,RETIRO,5533,2023-12-19
371,SM75 S708 7155 8340 LNTD SKKA PHL,INGRESO,-8742,2023-12-19
372,BH91 NEYR DM5V ON7J OPSG GP,INGRESO,-7162,2023-12-19
373,AE14 7261 3438 5179 0577 596,RETIRO,-6661,2023-12-19
374,KW15 WFAI Q5WN 4B6Z JZKC TZPC 1EVV VD,RETIRO,-4719,2023-12-19
375,GT63 RRQU A4PP WPHQ MUC2 H2IC 9NDW,RETIRO,9428,2023-12-19
376,AT11 6800 4763 8507 1211,INGRESO,7682,2023-12-19
377,EE79 2577 5575 3231 7450,RETIRO,-7319,2023-12-19
378,IT54 E150 7567 111I BFDO KZUE 1SU,INGRESO,-710,2023-12-19
379,VG88 PWCW 7317 2635 4113 9948,RETIRO,-6218,2023-12-19
380,MD53 A3FX DOS8 4GZZ ZRXT H436,RETIRO,-2034,2023-12-19
381,MU45 QQPK 1473 5056 9120 0955 401T SY,RETIRO,1006,2023-12-19
382,FR10 8562 1386 47IV UEX4 GWRT J42,RETIRO,5330,2023-12-19
383,MK24 689U 8OXM HO0R Y95,RETIRO,-5649,2023-12-19
384,IS85 7318 5798 3812 5408 5419 74,RETIRO,5864,2023-12-19
385,IL30 6798 4127 1167 4985 128,INGRESO,4156,2023-12-19
386,FR04 8675 4335 68RV IYDV DDUD L31,RETIRO,-1481,2023-12-19
387,LT28 7973 8671 7412 7909,INGRESO,7377,2023-12-19
388,MK73 312Y 39SS NGKH R14,RETIRO,7780,2023-12-19
389,HU18 8807 5977 8051 8093 8199 6368,INGRESO,-6037,2023-12-19
390,CH83 4477 8PXJ LSV1 CAKY 3,RETIRO,9583,2023-12-19
391,KW37 MENA NVIM VWEG KTDH RCOV C88U B1,RETIRO,5903,2023-12-19
392,EE87 2261 1206 4584 0777,RETIRO,1943,2023-12-19
393,CZ45 8983 7908 1646 8371 6026,RETIRO,7044,2023-12-19
394,HR58 7381 6086 4501 7238 0,INGRESO,5743,2023-12-19
395,GB14 ENMM 7426 5543 0889 34,RETIRO,-4554,2023-12-19
396,FI87 7842 4954 4449 00,RETIRO,-1011,2023-12-19
397,PK72 EUAB LU0H T7NW 7BAL ANBZ,INGRESO,-8476,2023-12-19
398,SK80 8302 2967 4743 8631 3605,INGRESO,6504,2023-12-19
399,BH86 HIKS XKG2 HPDK 6HLO TO,INGRESO,-6229,2023-12-19
400,SE28 2548 1684 6151 1641 7480,INGRESO,8553,2023-12-19
401,FR79 8996 7394 24QN UMTL DXI3 S67,RETIRO,8494,2023-12-19
402,GI77 YYVG PWWV HOUA IWLK 7G0,INGRESO,-4247,2023-12-19
403,SE51 4155 5838 6389 0466 1332,INGRESO,-2009,2023-12-19
404,FR92 7523 1650 86AC ZT6B XRTW 441,RETIRO,2216,2023-12-19
405,SA49 94VL HGWC JREG J6MQ FMTV,INGRESO,5460,2023-12-19
406,PT15 1284 8774 2899 2619 8095 1,RETIRO,6493,2023-12-19
407,LU11 239Y JY2N SIAQ D0EN,RETIRO,593,2023-12-19
408,IS77 2438 9556 2196 7921 5039 02,INGRESO,9003,2023-12-19
409,NL49 FZZM 8192 2761 47,INGRESO,5554,2023-12-19
410,BG67 LZLP 2458 34GR W0KJ XX,INGRESO,6800,2023-12-19
411,FR39 1585 3808 82SS FXPN 3BB2 O07,INGRESO,867,2023-12-19
412,AT13 6362 0363 4832 6605,RETIRO,5486,2023-12-19
413,ME78 1630 3171 6041 5404 06,INGRESO,19,2023-12-19
414,FR73 8045 4412 06TI DCTL 7AWZ S66,INGRESO,4130,2023-12-19
415,KW64 JJBD QM9U GJ2P 8CLJ ZG5B GRBG W5,INGRESO,7721,2023-12-19
416,RO73 SVFS D1YQ ZLZR W1CO X89O,RETIRO,-8463,2023-12-19
417,FR48 9965 8291 26K8 YHUM WGVE U08,RETIRO,-8376,2023-12-19
418,FR80 2352 9877 48SU OP28 ZP6V 242,INGRESO,-2707,2023-12-19
419,GT67 27VN OMHF 3IEX RU0I QNMK SLJZ,INGRESO,-1566,2023-12-19
420,AD94 5321 8199 K5I3 PSMA 3MAK,INGRESO,3650,2023-12-19
421,MU41 WYGC 2785 3782 9985 5781 331C ZK,INGRESO,-7692,2023-12-19
422,AZ74 CSUJ W57G DVUN 0ZZQ PA6Z JLJK,INGRESO,5532,2023-12-19
423,IS65 4681 6266 3556 0644 3151 78,RETIRO,-4062,2023-12-19
424,BR17 6800 1921 8537 4545 5688 150L T,RETIRO,-2683,2023-12-19
425,HR64 8778 1356 2618 5403 8,RETIRO,-5012,2023-12-19
426,FR10 0990 1148 40KD BIZL FDRY H77,RETIRO,6465,2023-12-19
427,FR20 7930 7562 93SI ILTN BUPQ Y35,RETIRO,4328,2023-12-19
428,PL82 3074 6959 2751 5280 8519 7328,INGRESO,9390,2023-12-19
429,BE83 0701 3777 4443,INGRESO,-2802,2023-12-19
430,FR54 6369 5682 99L0 WZSX WJLA J83,INGRESO,-7880,2023-12-19
431,TN63 6666 1526 5731 7385 2525,INGRESO,7814,2023-12-19
432,AT78 4487 6892 9415 4001,INGRESO,3015,2023-12-19
433,IS61 7320 3869 5729 1106 6282 74,RETIRO,5853,2023-12-19
434,SM35 K642 1474 141K FO1Q FVF4 2C8,RETIRO,-1492,2023-12-19
435,MT39 HGUS 6404 4CZP 5CWS MMJM W4R8 5GC,INGRESO,-7140,2023-12-19
436,MC37 8930 1142 031P SLQ6 JH3W W29,RETIRO,-6720,2023-12-19
437,DE14 5802 2533 9091 0761 33,RETIRO,3866,2023-12-19
438,FR72 3282 6318 62DJ HOHC HVNC Y55,INGRESO,1464,2023-12-19
439,SK30 2596 0656 2429 6999 8880,RETIRO,9702,2023-12-19
440,DO05 7YR1 1673 3393 1741 4029 6065,INGRESO,-7987,2023-12-19
441,FR07 1761 9900 92TL LZAW GQOF W85,RETIRO,1997,2023-12-19
442,FR47 8572 7042 756Y 06XY KUF4 X63,RETIRO,7547,2023-12-19
443,FR65 6969 6107 924W A3E4 LFC5 275,INGRESO,7349,2023-12-19
444,LT19 3470 6156 8829 8538,INGRESO,-1514,2023-12-19
445,TR66 5645 4OFI KFPL ZBDT KJL4 BS,INGRESO,5218,2023-12-19
446,FR07 1603 0881 43NN V7Z6 BBT6 I48,RETIRO,-3205,2023-12-19
447,MK26 441D LFVA MNNT 078,RETIRO,-2673,2023-12-19
448,IE62 DODV 5028 2617 3272 21,RETIRO,-8142,2023-12-19
449,MD26 4IGN JSGG VKCN TUUA C3EN,INGRESO,-4098,2023-12-19
450,ES08 9825 1377 7695 1455 7694,INGRESO,882,2023-12-19
451,ME98 2187 0273 1204 8269 70,INGRESO,-7818,2023-12-19
452,FR60 6558 7905 55VH QV4H QWSS C00,INGRESO,918,2023-12-19
453,IE72 OOKC 0216 1137 0689 62,INGRESO,-5593,2023-12-19
454,KZ07 297D PSGV TD14 ILTR,INGRESO,-1199,2023-12-19
455,NO53 6458 2627 410,RETIRO,1461,2023-12-19
456,FR30 8491 9616 06GN TSFQ SPHU 688,RETIRO,7167,2023-12-19
457,IL08 0189 8520 7057 4599 342,RETIRO,7570,2023-12-19
458,BA14 4524 7275 5712 2688,INGRESO,5264,2023-12-19
459,PS30 EEAE CXZV U8KG VGXK U7T0 PUSH S,INGRESO,-8082,2023-12-19
460,GT43 0LHI ONIE JPVP AXWI DKKT NHSE,RETIRO,-7140,2023-12-19
461,FR13 4056 9976 76YF RZHU ALHH L00,INGRESO,-9399,2023-12-19
462,FR59 1294 7607 70NA IK43 I7U7 838,RETIRO,5012,2023-12-19
463,IL97 4048 1828 0927 7614 884,INGRESO,8371,2023-12-19
464,RO21 FFUA GFN3 HY86 ZBOO WXDT,RETIRO,-737,2023-12-19
465,MC93 6585 0314 99AS GE3W CMQE 742,RETIRO,8250,2023-12-19
466,LI12 4731 58T7 LSM4 QWI2 V,RETIRO,8751,2023-12-19
467,FR77 3381 9008 20UQ KFSY WTYO S75,INGRESO,-7529,2023-12-19
468,FR21 6301 6086 14GJ F96U 6N7I X94,INGRESO,6703,2023-12-19
469,TR05 1899 0TLP T4P3 JU7N MF39 PO,RETIRO,7625,2023-12-19
470,MD60 RKTP XW3I MJYC KHUL JPH9,RETIRO,6527,2023-12-19
471,AT59 1414 3133 7965 8758,RETIRO,626,2023-12-19
472,FR46 8838 0521 31FR JRI5 ZKRQ J01,RETIRO,-2070,2023-12-19
473,FR22 5589 5339 865R FYJT M8OA T87,RETIRO,-9277,2023-12-19
474,SM22 Z075 0997 484W PKCU KJDU AMD,RETIRO,7697,2023-12-19
475,BA81 2726 3644 6438 1532,INGRESO,2737,2023-12-19
476,NL77 YUWA 1972 0134 07,INGRESO,-6666,2023-12-19
477,KZ15 177K NOCX CLZA FEAJ,RETIRO,-1800,2023-12-19
478,AZ28 BDIU ELBK 4F47 XRVX SBTM W5IY,RETIRO,-1277,2023-12-19
479,IS13 6212 5960 9631 5058 4530 79,INGRESO,9493,2023-12-19
480,DK93 5353 8686 9836 03,INGRESO,-5274,2023-12-19
481,MR75 3331 2833 5604 9792 3901 193,INGRESO,-516,2023-12-19
482,PK52 BSOQ VSBX 8R4F DM9K UXSJ,INGRESO,-2464,2023-12-19
483,NL75 HPAJ 1074 4592 89,RETIRO,-6456,2023-12-19
484,FR42 2640 1381 84YU Z65D MPTE Z58,RETIRO,2507,2023-12-19
485,NL91 BPVU 9799 7524 11,RETIRO,6882,2023-12-19
486,FR25 2077 4277 512B ILVU XPQQ M89,RETIRO,-1701,2023-12-19
487,FI52 8215 7027 0181 05,RETIRO,7814,2023-12-19
488,ME14 1892 7246 4018 7438 46,INGRESO,-3410,2023-12-19
489,BH33 EVCC AGRA YICJ HEKC TX,INGRESO,-4834,2023-12-19
490,FR71 8455 4183 47ZE BSJB 6VFL 439,RETIRO,6051,2023-12-19
491,AZ04 ZFQC J5JA NSXQ RM5M I6UN MUUB,RETIRO,-213,2023-12-19
492,AD55 8901 4380 UZJI BBQR GYAK,RETIRO,5167,2023-12-19
493,FR72 3022 9658 78BB QHBU DJSG U74,RETIRO,1431,2023-12-19
494,IT74 C722 1425 362X LOJH 9U8R HLA,RETIRO,-4909,2023-12-19
495,PL53 8516 8940 5990 0263 7670 1051,RETIRO,3953,2023-12-19
496,SA93 050H RONS AWYW SQB8 679P,RETIRO,7846,2023-12-19
497,IT38 T195 6664 2042 IARJ G48R F9F,INGRESO,-4472,2023-12-19
498,SM40 Q350 9766 033W Z2HI UHRC SR3,INGRESO,-4169,2023-12-19
499,FR53 1639 9945 92T3 VWAQ 16GW M51,INGRESO,5594,2023-12-19
500,GL81 6507 2622 2880 77,INGRESO,5940,2023-12-19
501,CZ21 1450 7978 9930 9852 3824,INGRESO,3269,2023-12-19
502,MK37 9965 8GKL VCJH Y08,RETIRO,-403,2023-12-19
503,KW47 JZHJ IL1Y TXIZ IWRY UQKA O0GE SF,INGRESO,-3812,2023-12-19
504,MU72 MYYT 1010 5338 2811 0659 602O QO,INGRESO,-6573,2023-12-19
505,MR44 5146 3205 8288 2635 5358 548,INGRESO,8027,2023-12-19
506,HR11 5759 5333 5162 4843 9,RETIRO,3195,2023-12-19
507,RO14 DGSV N92X ZISK UFYQ VTXN,RETIRO,-6627,2023-12-19
508,NL45 UPSM 2233 1231 70,INGRESO,-3777,2023-12-19
509,AT25 6947 6871 3829 6680,RETIRO,720,2023-12-19
510,GB23 GWMW 5658 5316 8182 19,INGRESO,-4071,2023-12-19
511,NO52 8594 4745 174,INGRESO,-7608,2023-12-19
512,FR85 9187 6985 909U FLZ9 5O8V I18,RETIRO,-3021,2023-12-19
513,LB31 4512 YI7P 5NPV VLUR U0UE 5IHM,INGRESO,-6419,2023-12-19
514,NO60 3853 5858 745,INGRESO,9136,2023-12-19
515,RO07 FNZL SCOT 5DYN XW2E X80U,INGRESO,-3840,2023-12-19
516,SE54 5574 0304 5958 6558 0236,RETIRO,-3525,2023-12-19
517,FR67 3476 6710 90JY GC90 VYHG M05,INGRESO,-4717,2023-12-19
518,BH52 IIFT U0KS NZHX S6NV 02,INGRESO,2544,2023-12-19
519,HR02 1613 1727 8535 0878 3,INGRESO,-8400,2023-12-19
520,MC60 2413 0672 71TQ NEIH ZFDA F56,INGRESO,3286,2023-12-19
521,ME88 4418 8580 4312 8376 81,RETIRO,2588,2023-12-19
522,NO50 5802 8873 195,RETIRO,-4906,2023-12-19
523,EE05 0217 4720 8501 7666,INGRESO,7935,2023-12-19
524,CR46 8166 4898 2229 1307 8,INGRESO,8369,2023-12-19
525,IS60 0936 6279 8476 9764 9731 33,INGRESO,4301,2023-12-19
526,FR58 4592 6992 06QG HJ1C JO6B B20,INGRESO,8199,2023-12-19
527,BR48 4505 8246 8342 7308 6522 081H B,INGRESO,-117,2023-12-19
528,FR56 7952 8855 024L O0VR FHK4 N84,RETIRO,-1452,2023-12-19
529,CY39 5640 6131 TWVU AR9B QBJZ PQLR,INGRESO,-6096,2023-12-19
530,FR03 4397 8778 31OV SFZ1 GCJX Y29,RETIRO,-3320,2023-12-19
531,GB43 XXDY 2997 7800 8028 96,INGRESO,-1597,2023-12-19
532,BR20 8428 0809 8000 1840 7767 086L X,INGRESO,-698,2023-12-19
533,HU73 4717 8092 6021 6277 9511 8996,RETIRO,6010,2023-12-19
534,TR56 1712 66TQ 8M8X BWB4 AFQS EG,INGRESO,-5485,2023-12-19
535,FR35 1985 7361 05JB PW3V OHQF Y15,RETIRO,-6432,2023-12-19
536,LT88 2267 7502 8197 8825,RETIRO,-6825,2023-12-19
537,RO28 XNAL 7VUD VXV8 NV3X 6BC9,INGRESO,3512,2023-12-19
538,AZ34 OQBL JORW 7MBX UBJ9 PLHB R27R,RETIRO,-9709,2023-12-19
539,IL89 0091 2256 0527 6391 088,RETIRO,-9609,2023-12-19
540,IE07 UFHM 9376 0236 9020 79,RETIRO,8808,2023-12-19
541,GI04 ZPBN 11UC 4HYH XIDW 3T1,INGRESO,8887,2023-12-19
542,CH77 8421 1L72 BE97 IQ3Q 9,RETIRO,123,2023-12-19
543,FR09 1359 2948 848R 3A6U NHAZ R10,RETIRO,-7020,2023-12-19
544,FR15 7249 5597 96IH 40EW WUSG Z48,INGRESO,3782,2023-12-19
545,EE39 8200 4792 1261 7023,RETIRO,4053,2023-12-19
546,ME91 2705 9597 6343 3503 86,RETIRO,-8040,2023-12-19
547,HU98 5823 1987 8697 5963 7324 6466,INGRESO,3014,2023-12-19
548,FR95 2902 7026 67JD 558S ZHR5 J60,RETIRO,-7183,2023-12-19
549,DK81 6032 5200 9494 16,RETIRO,7577,2023-12-19
550,FI44 5524 0979 3578 30,INGRESO,1035,2023-12-19
551,FR73 2713 0617 707L TC9S Y5EI K38,INGRESO,497,2023-12-19
552,FO06 6182 4248 0266 13,INGRESO,-7775,2023-12-19
553,AD33 2473 4341 GCOB 2YSB MFVD,RETIRO,-8960,2023-12-19
554,DK84 5155 6254 2873 99,INGRESO,-4079,2023-12-19
555,CH25 1728 9BFW QIKA PMN2 P,RETIRO,5370,2023-12-19
556,SA49 77BN D6RV GYWK WFO0 6UVF,INGRESO,5819,2023-12-19
557,GI91 NTTA L4B2 HW07 FHYF T0X,INGRESO,-4374,2023-12-19
558,IT05 L895 2244 448V 3MEU Z8B4 J7W,INGRESO,7704,2023-12-19
559,AZ32 JWKV VTZK 25ND QA5K BRZD BRQ7,INGRESO,-1942,2023-12-19
560,TN36 3555 2543 3655 1527 4014,RETIRO,5905,2023-12-19
561,SI50 0200 7922 5916 504,RETIRO,-7433,2023-12-19
562,AZ62 VTIU KXAI ZTIK 2MFR PVDM B8QD,RETIRO,-1482,2023-12-19
563,SE48 7218 0149 0454 4004 3272,RETIRO,-956,2023-12-19
564,PS47 WZJA 2QMU 1VS7 RWV0 BS3Z V0J1 H,INGRESO,-4235,2023-12-19
565,NO11 0575 0076 131,INGRESO,-4225,2023-12-19
566,MR91 5053 2545 1861 5625 0483 946,RETIRO,8996,2023-12-19
567,IS62 1135 9135 6872 8409 7114 25,INGRESO,7019,2023-12-19
568,CZ53 7799 5397 5656 4236 1926,INGRESO,3784,2023-12-19
569,LI37 0339 2OG4 LRP5 BTJY 9,RETIRO,458,2023-12-19
570,SI95 5238 7098 7411 426,RETIRO,-3002,2023-12-19
571,GR20 1354 3054 A67X CFF9 TEQJ OTL,INGRESO,-8053,2023-12-19
572,NL71 OGWU 5326 6882 81,INGRESO,5148,2023-12-19
573,FR12 5922 5957 60WE 4NUX HGCC R71,INGRESO,1936,2023-12-19
574,MD83 MCZK GPJP JRV1 VACY IZQE,INGRESO,-8581,2023-12-19
575,MR69 4064 9413 3098 3074 6838 337,RETIRO,1672,2023-12-19
576,SA85 53GC TXVG URPV XRUE NPCZ,INGRESO,-1733,2023-12-19
577,MC97 4183 0279 74VD QPPK EMJC Q62,INGRESO,-9250,2023-12-19
578,PS40 VCHK JRQG TSIS RMHI KHXC B3WC C,INGRESO,9480,2023-12-19
579,PL22 9242 2989 3108 1057 4104 2071,RETIRO,349,2023-12-19
580,AZ76 YLXE RDSX H7X0 VJTA NU6G I44X,INGRESO,-8375,2023-12-19
581,SM70 Z666 6439 139U DLVH DVAQ K7L,INGRESO,728,2023-12-19
582,IT20 A692 7314 719P SRP5 ZQ74 60L,RETIRO,8134,2023-12-19
583,CZ17 5197 1273 6148 6084 2147,RETIRO,3910,2023-12-19
584,FR91 0987 7051 64AS FZEX WLQV X14,RETIRO,9467,2023-12-19
585,CR31 0082 2065 5261 0946 0,INGRESO,-9441,2023-12-19
586,GT13 73AU 0FDX T9G6 MJZR SIVF DIBE,RETIRO,8986,2023-12-19
587,FR38 3851 3759 85IL DPTM 97PY H02,INGRESO,3684,2023-12-19
588,PT17 0406 6054 5223 5215 8967 6,INGRESO,2379,2023-12-19
589,FR25 9217 4113 09HY Q5AO SEMT J19,RETIRO,-6572,2023-12-19
590,FR62 9558 4293 42WM O0HZ 92BM 209,RETIRO,6369,2023-12-19
591,MT56 WSIM 3759 43AO EBRC RKOH UYVE JDN,INGRESO,-8214,2023-12-19
592,LU63 989I RWOX EUIX KGIK,RETIRO,-8469,2023-12-19
593,MD44 GOFI ZWUH 4QHD KCBH RGGF,RETIRO,7852,2023-12-19
594,PL76 5050 7476 5909 4660 6602 4256,INGRESO,5410,2023-12-19
595,IS43 8688 9052 9430 5675 7439 81,INGRESO,8678,2023-12-19
596,BE16 8221 1348 8926,RETIRO,-5319,2023-12-19
597,FR66 9348 9381 349O 5MI7 FZY5 L78,RETIRO,-6914,2023-12-19
598,NL39 STTC 1986 1317 54,RETIRO,2753,2023-12-19
599,BA20 8991 0120 2563 1745,RETIRO,-282,2023-12-19
600,LB29 3222 HVNK X3DQ WHBK PDRL 0V03,INGRESO,8017,2023-12-19
601,GE73 CV95 6804 7218 2509 57,RETIRO,-347,2023-12-19
602,IE81 YVCG 8777 2302 4456 52,INGRESO,8949,2023-12-19
603,PT29 0740 5495 5272 8988 5373 5,RETIRO,4676,2023-12-19
604,PK60 WFEN CNHU 6AHW KIXJ H7HM,RETIRO,6168,2023-12-19
605,MK63 242G OYKE PHBB O64,INGRESO,-9243,2023-12-19
606,IE24 HYRD 2626 1066 6219 90,INGRESO,-9807,2023-12-19
607,BG48 IFCW 0851 786U H3US RJ,INGRESO,-7269,2023-12-19
608,DK83 5750 1616 6719 66,INGRESO,-2966,2023-12-19
609,FR18 3780 3867 91D1 XT1W TSHD U93,RETIRO,135,2023-12-19
610,RS31 0209 5821 3186 5119 88,INGRESO,-6260,2023-12-19
611,SI76 0927 5998 9199 582,INGRESO,6195,2023-12-19
612,ES17 8536 7504 2349 6013 8495,INGRESO,-9074,2023-12-19
613,PS83 CWPT EJJI 0PQS RPUC 9VAC GMD9 J,INGRESO,8919,2023-12-19
614,NL02 UTAQ 6705 2646 22,INGRESO,-7983,2023-12-19
615,HU98 4278 7361 1597 5489 8611 9473,INGRESO,-4330,2023-12-19
616,TN51 0036 2532 8242 2249 7096,INGRESO,-3688,2023-12-19
617,GL02 6318 2721 8275 50,RETIRO,8934,2023-12-19
618,DE06 5619 9086 0085 1242 47,RETIRO,7296,2023-12-19
619,FO17 6188 8596 6545 58,RETIRO,-7104,2023-12-19
620,DE09 0856 8579 0115 8940 07,RETIRO,2413,2023-12-19
621,FR35 2504 3998 71HF T09A OX8A Y96,INGRESO,-3318,2023-12-19
622,DK29 0415 5013 5964 48,RETIRO,3318,2023-12-19
623,SK42 0557 5969 4993 2988 8344,INGRESO,-7870,2023-12-19
624,ES38 5003 5105 0139 7833 8835,RETIRO,-8507,2023-12-19
625,AE94 2464 3816 0532 8452 156,RETIRO,-5319,2023-12-19
626,AZ84 OFKP BWIU P6KB IITI Q6C4 TQSC,INGRESO,5115,2023-12-19
627,AD24 9474 5271 HYGH 3ZZY RWJD,INGRESO,-3100,2023-12-19
628,FR42 7754 4632 28A1 N16I LN3S O14,RETIRO,-2414,2023-12-19
629,MK48 110B UXPM SOZ4 O36,RETIRO,-3294,2023-12-19
630,MT11 OGDT 0949 6EYX JQHA YHZ8 6ZU0 JBL,RETIRO,4895,2023-12-19
631,FR60 5311 2178 58CD AZKJ UVWB D56,INGRESO,-1384,2023-12-19
632,FO73 0162 6771 7690 82,RETIRO,-114,2023-12-19
633,KW28 LYHQ E0Z3 YTKT BBNM 4I4N 3QHQ QA,RETIRO,-759,2023-12-19
634,HU52 3764 9490 7927 5200 2336 5420,RETIRO,590,2023-12-19
635,SM91 W428 3749 1487 83LA LKZV 030,RETIRO,-3096,2023-12-19
636,MC73 9974 2480 95MG 6CGT JPPN C90,INGRESO,4459,2023-12-19
637,FR80 8567 5157 60K9 SQ9X 5TKJ D94,RETIRO,-2662,2023-12-19
638,DK46 7264 4639 0828 47,INGRESO,-1845,2023-12-19
639,FR76 4588 1702 41FN XRFB MUXL 476,INGRESO,-526,2023-12-19
640,PT62 7160 1248 7201 2116 2759 5,INGRESO,3776,2023-12-19
641,GB21 VSZA 7746 8430 9519 74,INGRESO,-2242,2023-12-19
642,GB09 TJJI 6583 6875 0705 52,INGRESO,8068,2023-12-19
643,FR54 4318 4339 51M7 D5P7 TSC4 976,INGRESO,-1579,2023-12-19
644,FR61 4790 6959 770X TVK9 71RB J28,RETIRO,4288,2023-12-19
645,CR04 9230 4132 3611 8277 1,RETIRO,2899,2023-12-19
646,MK37 939D VA5W FNUU C16,RETIRO,1164,2023-12-19
647,AL39 1088 2793 WCST SMAM 6UJK BFNW,INGRESO,-965,2023-12-19
648,HR70 4591 1377 2154 3313 6,INGRESO,9409,2023-12-19
649,PK28 RYMZ ZKFO CKBO VD4Y 7DBT,RETIRO,4710,2023-12-19
650,MU57 BCOA 1936 0519 0800 6918 944X RO,INGRESO,103,2023-12-19
651,MT97 DPNR 8924 7NUV UJC3 QRWM 0YT9 DTK,INGRESO,-6554,2023-12-19
652,AZ95 DXKH HJPX GMQX 6GAO RDYX FFN8,INGRESO,-1870,2023-12-19
653,FR90 0965 9587 129Y PVAD 5QMC O17,RETIRO,9825,2023-12-19
654,IE96 WUMX 4458 3616 0956 73,INGRESO,-2717,2023-12-19
655,KZ12 058Y CQ7D SM9R 8RVT,INGRESO,1947,2023-12-19
656,PS76 WSOR T1KM JKIJ TB6D ACNC ME7J H,INGRESO,-1796,2023-12-19
657,GE87 TE15 0345 6218 6142 73,INGRESO,-3777,2023-12-19
658,FR85 9085 0395 59WK F4UC SFYU E82,RETIRO,2401,2023-12-19
659,AE55 9633 5160 6066 4418 529,RETIRO,9869,2023-12-19
660,AE91 4822 3065 1173 4954 930,INGRESO,-925,2023-12-19
661,FR51 8626 6123 68VV XDVX M2F6 J90,RETIRO,-312,2023-12-19
662,AL20 5733 8333 VMMC T5OQ TB3W EX1M,RETIRO,6963,2023-12-19
663,MR49 9102 3789 2493 4095 4382 788,INGRESO,-1839,2023-12-19
664,FR52 3970 0411 47LO 9093 N9GZ F42,INGRESO,7802,2023-12-19
665,FR62 7237 7163 84JS VJRH JCFZ K01,INGRESO,1483,2023-12-19
666,BG06 JGOJ 7540 37EH DXUC E9,RETIRO,-7493,2023-12-19
667,NO88 3895 7716 285,INGRESO,-2917,2023-12-19
668,PK42 AQGJ ROY9 RNFG TMUC AEIM,INGRESO,-9481,2023-12-19
669,LU07 314P L2BU NMFX FSA9,RETIRO,-7628,2023-12-19
670,GL43 2110 3723 1124 83,INGRESO,3860,2023-12-19
671,NL25 BMZC 2996 6108 43,RETIRO,-8607,2023-12-19
672,PL79 2110 5772 0833 1429 0668 9329,INGRESO,7531,2023-12-19
673,VG95 WBCN 7125 7986 5343 4025,INGRESO,7507,2023-12-19
674,RO72 MFFE 3KET UVYY CJKU SMVM,RETIRO,-5101,2023-12-19
675,PK66 EGQS BBKG D39D S0VK CB2K,RETIRO,-3579,2023-12-19
676,FR13 5047 6459 95RV YDCU OD3W I99,INGRESO,1025,2023-12-19
677,LV64 ROQZ ZR8Q MICG TMAI T,INGRESO,5097,2023-12-19
678,GR97 9416 223K OCK5 7QNA DIT5 MBJ,RETIRO,-5501,2023-12-19
679,HU72 3101 9639 4886 0500 3743 2775,INGRESO,6532,2023-12-19
680,LB48 3982 5XYJ J6ME HYPY 86LH XW4C,RETIRO,3213,2023-12-19
681,GB95 YEFX 3506 0458 6079 09,RETIRO,1155,2023-12-19
682,TR12 4525 3UGO MUMA FPLL 5YQL QW,INGRESO,9578,2023-12-19
